close,high,low,open,timestamp,volume
16807,16822,16792,16822,1670479200,37.62726670
16826,16840,16806,16806,1670482800,43.56062119
16838,16841,16822,16828,1670486400,26.01074617
16808,16845,16801,16838,1670490000,71.16287354
16827,16833,16806,16806,1670493600,42.52512528
16854,16857,16734,16827,1670497200,127.98169735
16832,16877,16831,16853,1670500800,68.76869861
16856,16865,16809,16833,1670504400,32.59568761
16908,16918,16833,16859,1670508000,54.48057353
16918,16954,16890,16910,1670511600,63.37198731
16952,16954,16913,16922,1670515200,58.98137140
16972,16973,16940,16954,1670518800,56.18404997
17244,17281,16967,16973,1670522400,255.04146009
17255,17296,17193,17248,1670526000,133.26155789
17211,17293,17164,17256,1670529600,229.31604893
17185,17214,17177,17203,1670533200,66.97936942
17203,17242,17184,17185,1670536800,81.10316076
17229,17264,17204,17204,1670540400,72.90502223
17209,17256,17196,17229,1670544000,33.23512839
17237,17292,17208,17209,1670547600,84.82314543
17220,17253,17212,17237,1670551200,26.52356058
17204,17233,17199,17219,1670554800,26.35201128
17226,17226,17196,17204,1670558400,39.99472253
17221,17226,17204,17226,1670562000,23.88840395
17221,17221,17198,17220,1670565600,39.71723990
17216,17234,17214,17221,1670569200,31.44454422
17206,17217,17204,17216,1670572800,44.97116398
17243,17252,17203,17206,1670576400,45.57457056
17218,17263,17209,17243,1670580000,38.14312365
17247,17258,17213,17218,1670583600,35.20690895
17258,17353,17188,17247,1670587200,144.05805586
17158,17271,17077,17258,1670590800,176.24071370
17157,17169,17086,17156,1670594400,62.25492322
17182,17186,17141,17157,1670598000,57.77136779
17160,17188,17155,17182,1670601600,39.53784201
17167,17173,17156,17161,1670605200,42.71879238
17150,17166,17126,17166,1670608800,39.00007121
17142,17161,17128,17150,1670612400,20.17969347
17103,17152,17103,17140,1670616000,22.94434920
17116,17122,17073,17103,1670619600,44.69715118
17132,17133,17110,17115,1670623200,57.28777620
17128,17155,17123,17133,1670626800,50.14038877
17157,17165,17124,17129,1670630400,31.94618322
17156,17167,17151,17156,1670634000,15.45199979
17144,17159,17122,17156,1670637600,26.69231343
17148,17159,17140,17143,1670641200,20.24922202
17157,17161,17144,17149,1670644800,16.35521844
17138,17158,17138,17157,1670648400,19.30959849
17150,17163,17137,17138,1670652000,16.26898846
17156,17172,17143,17151,1670655600,23.52478401
17144,17159,17144,17156,1670659200,23.77449916
17145,17146,17116,17144,1670662800,36.23178831
17163,17169,17143,17145,1670666400,35.08222958
17167,17169,17157,17163,1670670000,23.90229357
17159,17174,17147,17169,1670673600,28.56488813
17157,17186,17146,17159,1670677200,49.95753459
17169,17176,17149,17157,1670680800,18.28334065
17214,17223,17165,17169,1670684400,71.28666084
17188,17223,17179,17214,1670688000,41.14366365
17169,17198,17166,17188,1670691600,33.38040695
17188,17192,17169,17169,1670695200,11.95861725
17175,17190,17172,17189,1670698800,16.83244075
17173,17178,17171,17175,1670702400,6.00330171
17132,17174,17132,17173,1670706000,23.46404132
17132,17155,17117,17130,1670709600,37.60361640
17128,17146,17100,17133,1670713200,50.47417629
17143,17143,17124,17128,1670716800,10.38865999
17165,17165,17142,17143,1670720400,29.88170849
17149,17164,17146,17164,1670724000,35.88856073
17158,17173,17146,17150,1670727600,36.02546339
17169,17169,17156,17158,1670731200,26.66694082
17171,17184,17158,17169,1670734800,40.39919133
17176,17197,17169,17171,1670738400,47.40754616
17185,17190,17160,17176,1670742000,50.85963148
17177,17186,17162,17185,1670745600,36.55875409
17167,17177,17164,17177,1670749200,26.98502253
17167,17167,17155,17165,1670752800,16.33275816
17167,17167,17147,17165,1670756400,39.18033189
17166,17168,17149,17167,1670760000,23.10575778
